type, setup, encryption, homomorphic, decryption, plaintext, total, value
n25x8192-slot-inner-4096, 139, 206, 406, 0, 0, 751, 341335
n25x8192-slot-inner-4096, 144, 211, 378, 0, 0, 733, 341335
n25x8192-slot-inner-4096, 132, 198, 373, 0, 0, 703, 341335
n25x8192-slot-inner-4096, 135, 197, 373, 0, 0, 705, 341335
n25x8192-slot-inner-4096, 133, 195, 361, 0, 0, 689, 341335
n25x8192-slot-inner-4096, 136, 204, 366, 0, 0, 706, 341335
n25x8192-slot-inner-4096, 138, 198, 369, 0, 0, 705, 341335
n25x8192-slot-inner-4096, 134, 199, 374, 0, 0, 707, 341335
n25x8192-slot-inner-4096, 139, 194, 362, 0, 0, 695, 341335
n25x8192-slot-inner-4096, 136, 194, 381, 0, 0, 711, 341335
n25x8192-slot-inner-4096, 135, 200, 380, 0, 0, 715, 341335
n25x8192-slot-inner-4096, 135, 194, 364, 0, 0, 693, 341335
n25x8192-slot-inner-4096, 133, 196, 362, 0, 0, 691, 341335
n25x8192-slot-inner-4096, 138, 204, 412, 0, 0, 754, 341335
n25x8192-slot-inner-4096, 148, 210, 379, 0, 0, 737, 341335
n25x8192-slot-inner-4096, 135, 195, 362, 0, 0, 692, 341335
