type, ringDim, setup, encryption, cMult, AddMany, total_time, value 
n8192-coef-inner, 2048, 16, 17, 15, 0, 48, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 20, 17, 14, 0, 51, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 17, 17, 15, 0, 49, 4
n8192-coef-inner, 2048, 16, 17, 16, 0, 49, 4
n8192-coef-inner, 2048, 20, 17, 13, 0, 50, 4
n8192-coef-inner, 2048, 16, 16, 14, 0, 46, 4
n8192-coef-inner, 2048, 17, 17, 13, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n10x8192-coef-inner, 2048, 19, 210, 136, 3, 368, 28
n10x8192-coef-inner, 2048, 16, 153, 129, 3, 301, 28
n10x8192-coef-inner, 2048, 16, 163, 152, 3, 334, 28
n10x8192-coef-inner, 2048, 22, 160, 131, 3, 316, 28
n10x8192-coef-inner, 2048, 22, 161, 128, 3, 314, 28
n10x8192-coef-inner, 2048, 16, 151, 131, 3, 301, 28
n10x8192-coef-inner, 2048, 17, 151, 129, 3, 300, 28
n10x8192-coef-inner, 2048, 16, 154, 135, 3, 308, 28
n10x8192-coef-inner, 2048, 16, 152, 133, 3, 304, 28
n10x8192-coef-inner, 2048, 16, 152, 137, 3, 308, 28
n10x8192-coef-inner, 2048, 16, 152, 129, 3, 300, 28
n10x8192-coef-inner, 2048, 17, 154, 135, 3, 309, 28
n10x8192-coef-inner, 2048, 16, 152, 128, 3, 299, 28
n10x8192-coef-inner, 2048, 16, 154, 134, 3, 307, 28
n10x8192-coef-inner, 2048, 18, 153, 130, 3, 304, 28
n10x8192-coef-inner, 2048, 16, 160, 128, 3, 307, 28
n10x8192-coef-inner, 2048, 16, 152, 129, 3, 300, 28
n10x8192-coef-inner, 2048, 17, 161, 131, 3, 312, 28
n10x8192-coef-inner, 2048, 16, 152, 128, 3, 299, 28
n10x8192-coef-inner, 2048, 16, 158, 128, 3, 305, 28
n10x8192-coef-inner, 2048, 17, 155, 129, 3, 304, 28
n10x8192-coef-inner, 2048, 16, 160, 128, 3, 307, 28
n10x8192-coef-inner, 2048, 16, 153, 133, 8, 310, 28
n10x8192-coef-inner, 2048, 17, 153, 127, 3, 300, 28
n10x8192-coef-inner, 2048, 16, 155, 138, 3, 312, 28
n10x8192-coef-inner, 2048, 16, 164, 129, 3, 312, 28
n10x8192-coef-inner, 2048, 16, 152, 141, 3, 312, 28
n10x8192-coef-inner, 2048, 16, 151, 129, 3, 299, 28
n10x8192-coef-inner, 2048, 22, 160, 135, 3, 320, 28
n10x8192-coef-inner, 2048, 24, 154, 135, 3, 316, 28
n10x8192-coef-inner, 2048, 16, 160, 129, 3, 308, 28
n10x8192-coef-inner, 2048, 16, 151, 128, 3, 298, 28
n10x8192-coef-inner, 2048, 16, 158, 129, 3, 306, 28
n10x8192-coef-inner, 2048, 16, 151, 127, 3, 297, 28
n10x8192-coef-inner, 2048, 23, 161, 129, 3, 316, 28
n10x8192-coef-inner, 2048, 16, 152, 130, 3, 301, 28
n10x8192-coef-inner, 2048, 18, 164, 128, 3, 313, 28
n10x8192-coef-inner, 2048, 16, 152, 136, 3, 307, 28
n10x8192-coef-inner, 2048, 21, 155, 128, 3, 307, 28
n10x8192-coef-inner, 2048, 16, 156, 136, 3, 311, 28
n10x8192-coef-inner, 2048, 16, 153, 129, 3, 301, 28
n10x8192-coef-inner, 2048, 16, 154, 135, 3, 308, 28
n10x8192-coef-inner, 2048, 16, 155, 128, 3, 302, 28
n10x8192-coef-inner, 2048, 16, 159, 128, 3, 306, 28
n10x8192-coef-inner, 2048, 18, 152, 137, 3, 310, 28
n10x8192-coef-inner, 2048, 16, 158, 128, 3, 305, 28
n10x8192-coef-inner, 2048, 16, 154, 130, 3, 303, 28
n10x8192-coef-inner, 2048, 17, 158, 128, 3, 306, 28
n10x8192-coef-inner, 2048, 16, 151, 128, 3, 298, 28
n10x8192-coef-inner, 2048, 16, 163, 128, 3, 310, 28
n10x8192-coef-inner, 2048, 16, 152, 128, 3, 299, 28
n10x8192-coef-inner, 2048, 17, 165, 128, 3, 313, 28
n10x8192-coef-inner, 2048, 22, 151, 146, 3, 322, 28
n10x8192-coef-inner, 2048, 16, 154, 128, 3, 301, 28
n10x8192-coef-inner, 2048, 21, 158, 146, 3, 328, 28
n10x8192-coef-inner, 2048, 16, 156, 130, 3, 305, 28
n10x8192-coef-inner, 2048, 16, 153, 134, 3, 306, 28
n10x8192-coef-inner, 2048, 16, 152, 129, 3, 300, 28
n10x8192-coef-inner, 2048, 16, 158, 128, 3, 305, 28
n10x8192-coef-inner, 2048, 17, 154, 130, 3, 304, 28
n10x8192-coef-inner, 2048, 16, 161, 131, 3, 311, 28
n10x8192-coef-inner, 2048, 16, 155, 129, 3, 303, 28
n10x8192-coef-inner, 2048, 16, 159, 128, 3, 306, 28
n10x8192-coef-inner, 2048, 16, 155, 130, 3, 304, 28
n10x8192-coef-inner, 2048, 16, 159, 129, 3, 307, 28
n10x8192-coef-inner, 2048, 16, 153, 132, 3, 304, 28
n10x8192-coef-inner, 2048, 20, 153, 128, 3, 304, 28
n10x8192-coef-inner, 2048, 17, 152, 136, 3, 308, 28
n10x8192-coef-inner, 2048, 19, 153, 133, 3, 308, 28
n10x8192-coef-inner, 2048, 16, 152, 135, 3, 306, 28
n10x8192-coef-inner, 2048, 16, 152, 128, 3, 299, 28
n10x8192-coef-inner, 2048, 16, 154, 135, 3, 308, 28
n10x8192-coef-inner, 2048, 16, 152, 127, 3, 298, 28
n10x8192-coef-inner, 2048, 17, 155, 136, 3, 311, 28
n10x8192-coef-inner, 2048, 16, 157, 130, 3, 306, 28
n10x8192-coef-inner, 2048, 16, 159, 126, 3, 304, 28
n10x8192-coef-inner, 2048, 17, 156, 129, 3, 305, 28
n10x8192-coef-inner, 2048, 16, 159, 128, 3, 306, 28
n10x8192-coef-inner, 2048, 16, 153, 129, 3, 301, 28
n10x8192-coef-inner, 2048, 16, 161, 129, 3, 309, 28
n10x8192-coef-inner, 2048, 16, 154, 132, 3, 305, 28
n10x8192-coef-inner, 2048, 20, 154, 129, 3, 306, 28
n10x8192-coef-inner, 2048, 16, 152, 129, 8, 305, 28
n10x8192-coef-inner, 2048, 16, 153, 126, 3, 298, 28
n10x8192-coef-inner, 2048, 17, 150, 136, 3, 306, 28
n10x8192-coef-inner, 2048, 16, 152, 129, 3, 300, 28
n10x8192-coef-inner, 2048, 16, 153, 137, 3, 309, 28
n10x8192-coef-inner, 2048, 16, 153, 129, 3, 301, 28
n10x8192-coef-inner, 2048, 17, 153, 137, 3, 310, 28
n10x8192-coef-inner, 2048, 16, 152, 127, 3, 298, 28
n10x8192-coef-inner, 2048, 16, 159, 128, 3, 306, 28
n10x8192-coef-inner, 2048, 16, 152, 130, 3, 301, 28
n10x8192-coef-inner, 2048, 16, 159, 129, 3, 307, 28
n10x8192-coef-inner, 2048, 16, 157, 129, 3, 305, 28
n10x8192-coef-inner, 2048, 16, 158, 129, 3, 306, 28
n10x8192-coef-inner, 2048, 16, 156, 128, 3, 303, 28
n10x8192-coef-inner, 2048, 16, 159, 128, 3, 306, 28
n10x8192-coef-inner, 2048, 16, 156, 133, 3, 308, 28
n10x8192-coef-inner, 2048, 16, 160, 129, 3, 308, 28
n10x8192-coef-inner, 2048, 16, 151, 135, 3, 305, 28
n25x8192-coef-inner, 2048, 18, 427, 335, 9, 789, 68
n25x8192-coef-inner, 2048, 16, 388, 321, 9, 734, 68
n25x8192-coef-inner, 2048, 16, 389, 330, 8, 743, 68
n25x8192-coef-inner, 2048, 16, 379, 329, 9, 733, 68
n25x8192-coef-inner, 2048, 16, 388, 320, 9, 733, 68
n25x8192-coef-inner, 2048, 16, 383, 314, 8, 721, 68
n25x8192-coef-inner, 2048, 16, 385, 335, 9, 745, 68
n25x8192-coef-inner, 2048, 17, 381, 327, 9, 734, 68
n25x8192-coef-inner, 2048, 17, 393, 322, 8, 740, 68
n25x8192-coef-inner, 2048, 22, 392, 329, 8, 751, 68
n25x8192-coef-inner, 2048, 21, 381, 328, 9, 739, 68
n25x8192-coef-inner, 2048, 20, 382, 327, 8, 737, 68
n25x8192-coef-inner, 2048, 23, 392, 324, 9, 748, 68
n25x8192-coef-inner, 2048, 20, 389, 340, 8, 757, 68
n25x8192-coef-inner, 2048, 16, 381, 331, 9, 737, 68
n25x8192-coef-inner, 2048, 23, 389, 336, 9, 757, 68
n25x8192-coef-inner, 2048, 19, 392, 321, 9, 741, 68
n25x8192-coef-inner, 2048, 17, 380, 332, 9, 738, 68
n25x8192-coef-inner, 2048, 16, 385, 327, 9, 737, 68
n25x8192-coef-inner, 2048, 16, 387, 325, 9, 737, 68
n25x8192-coef-inner, 2048, 16, 382, 319, 9, 726, 68
n25x8192-coef-inner, 2048, 16, 381, 327, 9, 733, 68
n25x8192-coef-inner, 2048, 17, 384, 325, 9, 735, 68
n25x8192-coef-inner, 2048, 16, 382, 323, 8, 729, 68
n25x8192-coef-inner, 2048, 16, 386, 331, 8, 741, 68
n25x8192-coef-inner, 2048, 16, 381, 320, 8, 725, 68
n25x8192-coef-inner, 2048, 17, 377, 326, 9, 729, 68
n25x8192-coef-inner, 2048, 16, 380, 324, 9, 729, 68
n25x8192-coef-inner, 2048, 16, 380, 323, 9, 728, 68
n25x8192-coef-inner, 2048, 16, 378, 323, 8, 725, 68
n25x8192-coef-inner, 2048, 16, 385, 326, 9, 736, 68
n25x8192-coef-inner, 2048, 16, 381, 326, 9, 732, 68
n25x8192-coef-inner, 2048, 16, 383, 321, 9, 729, 68
n25x8192-coef-inner, 2048, 17, 394, 325, 9, 745, 68
n25x8192-coef-inner, 2048, 19, 382, 322, 9, 732, 68
n25x8192-coef-inner, 2048, 20, 378, 327, 9, 734, 68
n25x8192-coef-inner, 2048, 16, 379, 320, 8, 723, 68
n25x8192-coef-inner, 2048, 17, 379, 322, 9, 727, 68
n25x8192-coef-inner, 2048, 16, 403, 329, 8, 756, 68
n25x8192-coef-inner, 2048, 16, 380, 326, 9, 731, 68
n25x8192-coef-inner, 2048, 17, 380, 320, 9, 726, 68
n25x8192-coef-inner, 2048, 18, 383, 333, 9, 743, 68
n25x8192-coef-inner, 2048, 20, 383, 322, 8, 733, 68
n25x8192-coef-inner, 2048, 19, 384, 335, 9, 747, 68
n25x8192-coef-inner, 2048, 16, 380, 319, 9, 724, 68
n25x8192-coef-inner, 2048, 20, 377, 333, 9, 739, 68
n25x8192-coef-inner, 2048, 16, 395, 325, 9, 745, 68
n25x8192-coef-inner, 2048, 16, 392, 319, 9, 736, 68
n25x8192-coef-inner, 2048, 17, 387, 323, 9, 736, 68
n25x8192-coef-inner, 2048, 16, 383, 319, 8, 726, 68
n25x8192-coef-inner, 2048, 16, 384, 322, 8, 730, 68
n25x8192-coef-inner, 2048, 17, 389, 329, 9, 744, 68
n25x8192-coef-inner, 2048, 16, 375, 318, 8, 717, 68
n25x8192-coef-inner, 2048, 16, 377, 318, 8, 719, 68
n25x8192-coef-inner, 2048, 16, 385, 322, 9, 732, 68
n25x8192-coef-inner, 2048, 16, 378, 323, 8, 725, 68
